SHORTNAME	CLASSTEACHER	DEPARTMENT	TERM	WINTER	SUMMER
1AFITN	SCM	FIT	1	true	true
1AHBGM	FOE	HBG	1	true	true
1AHIF	GC	HIF	1	true	true
1AHKUI	VUV	DESIGN	1	true	true
1AHMNA	FER	DESIGN	1	true	true
1AHMNG	KUB	DESIGN	1	true	true
1AHWII	SUN	HWI	1	true	true
1AHWIT	BIT	HWI	1	true	true
1AO	NAI	AO	1	false	true
1AVIF	KOL	IF	1	true	false
1BFITM	POL	FIT	1	true	true
1BHBGM	NAH	HBG	1	true	true
1BHIF	BEP	HIF	1	true	true
1BVIF	RUC	IF	1	true	false
1CHIF	TSI	HIF	1	true	true
1CVIF	SPE	IF	1	true	false
1DHIF	KNM	HIF	1	true	true
1DVIF	SWA	IF	1	true	false
1EHIF	SIL	HIF	1	true	true
1EVIF	EDJ	IF	1	true	false
2AAIF	EDJ	IF	2	false	true
2ABIF	KOL	IF	2	false	true
2AFITN	TK	FIT	2	true	true
2AHBGM	AT	HBG	2	true	true
2AHIF	DOM	HIF	2	true	true
2AHKUI	LIN	DESIGN	2	true	true
2AHMNA	REM	DESIGN	2	true	true
2AHMNG	WEM	DESIGN	2	true	true
2AHWII	BIE	HWI	2	true	true
2AHWIT	SED	HWI	2	true	true
2BAIF	SPE	IF	2	false	true
2BFITM	PUA	FIT	2	true	true
2BHBGM	ZEP	HBG	2	true	true
2BHIF	NAI	HIF	2	true	true
2CAIF	SWA	IF	2	false	true
2CHIF	RX	HIF	2	true	true
2DAIF	SW	IF	2	false	true
2DHIF	TT	HIF	2	true	true
2EHIF	PK	HIF	2	true	true
3AAIF	WES	IF	3	true	false
3ABIF	AT	IF	3	true	false
3ACIF	DRS	IF	3	true	false
3ACMNA	BIN	DES	3	true	false
3ACMNG	LJK	DES	3	true	false
3AFITN	BOB	FIT	3	true	true
3AHBGM	BOK	HBG	3	true	true
3AHIF	FM	HIF	3	true	true
3AHKUI	BI	DESIGN	3	true	true
3AHMNA	MUI	DESIGN	3	true	true
3AHMNG	KOP	DESIGN	3	true	true
3AHWII	SO	HWI	3	true	true
3AHWIT	BLJ	HWI	3	true	true
3AKIF	CHA	IF	3	true	false
3AKKUI	STK	DES	3	true	false
3BAIF	SB	IF	3	true	false
3BFITM	ZOE	FIT	3	true	true
3BHBGM	RRN	HBG	3	true	true
3BHIF	BOM	HIF	3	true	true
3BKIF	PT	IF	3	true	false
3CAIF	EN	IF	3	true	false
3CHIF	KRB	HIF	3	true	true
3DHIF	STJ	HIF	3	true	true
3EHIF	FRF	HIF	3	true	true
4AAIF	WES	IF	4	false	true
4ABIF	AT	IF	4	false	true
4ACIF	DRS	IF	4	false	true
4ACMNA	BIN	DES	4	false	true
4ACMNG	LJK	DES	4	false	true
4AFITN	NWV	FIT	4	true	true
4AHBGM	BAR	HBG	4	true	true
4AHIF	NIJ	HIF	4	true	true
4AHKUI	LES	DESIGN	4	true	true
4AHMNA	KY	DESIGN	4	true	true
4AHMNG	MAU	DESIGN	4	true	true
4AHWIT	STM	HWI	4	true	true
4AKIF	CHA	IF	4	false	true
4AKKUI	STK	DES	4	false	true
4BAIF	SB	IF	4	false	true
4BFITM	IR	FIT	4	true	true
4BHBGM	MUE	HBG	4	true	true
4BHIF	PC	HIF	4	true	true
4BHWIT	GRM	HWI	4	true	true
4BKIF	PT	IF	4	false	true
4CAIF	EN	IF	4	false	true
4CHIF	MAY	HIF	4	true	true
4DHIF	KEM	HIF	4	true	true
4EHIF	SAC	HIF	4	true	true
5AAIF	SZ	IF	5	true	false
5ABIF	HAS	IF	5	true	false
5ACIF	HIK	IF	5	true	false
5ACMNA	BIN	DES	5	true	false
5ACMNG	LJK	DES	5	true	false
5AHBGM	BW	HBG	5	true	true
5AHIF	SWA	HIF	5	true	true
5AHKUI	SGC	DESIGN	5	true	true
5AHMNA	BEC	DESIGN	5	true	true
5AHMNG	LJK	DESIGN	5	true	true
5AHWIT	NI	HWI	5	true	true
5AKIF	SRM	IF	5	true	false
5AKKUI	STK	DES	5	true	false
5BAIF	MAY	IF	5	true	false
5BHBGM	CAM	HBG	5	true	true
5BHIF	PE	HIF	5	true	true
5BHWIT	GRL	HWI	5	true	true
5BKIF	BIG	IF	5	true	false
5CAIF	PUC	IF	5	true	false
5CHIF	MIP	HIF	5	true	true
5EHIF	SK	HIF	5	true	true
6AAIF	SZ	IF	6	false	true
6ABIF	HAS	IF	6	false	true
6ACIF	HIK	IF	6	false	true
6ACMNA	BIN	DES	6	false	true
6ACMNG	LJK	DES	6	false	true
6AKIF	SRM	IF	6	false	true
6AKKUI	STK	DES	6	false	true
6BAIF	MAY	IF	6	false	true
6BKIF	BIG	IF	6	false	true
6CAIF	PUC	IF	6	false	true
7ABIF	BAM	IF	7	true	false
7ACIF	ENU	IF	7	true	false
7ACMNA	BIN	DES	7	true	false
7ACMNG	LJK	DES	7	true	false
8ABIF	BAM	IF	8	false	true
8ACIF	ENU	IF	8	false	true
8ACMNA	BIN	DES	8	false	true
8ACMNG	LJK	DES	8	false	true
