SHORTNAME	NAME
ABTV	Abteilungsvorstand
AINF	Angew. Informatik
AM	ANGEW. MATHEMATIK
AM-E	Mathematik ESF
AMEC	Angewandte Mechatronik
AMECx	Angewandte Mechatronik X-Gruppe
AMECy	Angewandte Mechatronik Y-GRuppe
AMx	ANGEW. MATHEMATIK
AMx-E	Mathematik ESF x
AMy	ANGEW. MATHEMATIK
AMy-E	Mathematik ESF y
AMz	ANGEW. MATHEMATIK
ANME	Angewandte Mechatronik
AP4	Atelier und Produktion
APT1	Anlagen- und Prüftechnik
AUFSICHT	Aufsicht
AW5A	ATELIER U. WERKST.
BADV	BETR.ANWENDUNGEN
BADVx	Betriebl. Anw. d. Datenverarb.
BADVy	Betriebl. Anw. d. Datenverarb.
BAP	Wahlpflichtgegenstand Business Applications
BEHB	Sonderpädagogische Förderung
BESP	Bewegung und Sport
BESPK	Bewegung und Sport
BET	Betriebstechnik
BET2	Betriebstechnik
BETP_2	Betriebstechnik und Projekte
BETP_2x	Betriebstechnik und Projekte x-Gruppe
BETP_2y	Betriebstechnik und Projekte y-Gruppe
BIB	BILDUNGSBER.ZUS.T.
BIBL	Bibliothek
BIST	Bildungsstandards
BMG2	Biologie, Medizin und Gesundheitswesen
BMSV	Biomedizinische Signalverarbeitung
BMSVx	Biomedizinische Signalverarbeitung, x-Gruppe
BMSVy	Biomedizinische Signalverarbeitung, y-Gruppe
BOW	Biologie, Ökologie und Warenlehre
BSPK	Bewegung und Sport - Knaben
BSPKx	Bewegung und Sport - Knaben X-Gruppe
BSPKy	Bewegung und Sport - Knaben Y-Gruppe
BSPM	Bewegung und Sport - Mädchen
BWM	Betriebswirtschaft und Management
BWM1	Betriebswirtschaft und Management
BWM2	Betriebswirtschaft und Management
BWM3	Betriebswirtschaft und Management
CABS_1	Computerarchitektur und Betriebssysteme
CABS_4a	Computerarchitektur und Betriebssysteme
COPR	Computerpraktikum
COPRx	Computerpraktikum
COPRy	Computerpraktikum
COPRz	Computerpraktikum
COV19	COVID-19
D	DEUTSCH
DAKO	DARSTELLUNG UND KOMPOSITION
DAT	Darstellungstechniken
